"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"01023199999","2021-09-22T12:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.62","45","54","","","","","72","","","","","","220","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET044METAR ENDR 221120Z AUTO 22032KT 12/07 Q1003=","","","","","","","","","",""
"01023199999","2021-11-01T11:50:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.12","43","50","","","","","76","","","","","","130","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET044METAR ENDR 011050Z AUTO 13027KT 10/06 Q0986=","","","","","","","","","",""
"01023199999","2021-11-05T12:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.53","36","43","","","","","76","","","","","","260","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET044METAR ENDR 051120Z AUTO 26033KT 06/02 Q1000=","","","","","","","","","",""
"01023199999","2021-11-05T12:50:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.53","36","43","","","","","76","","","","","","250","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET044METAR ENDR 051150Z AUTO 25027KT 06/02 Q1000=","","","","","","","","","",""
"01023199999","2021-11-05T13:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.53","36","41","","","","","81","","","","","","250","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET044METAR ENDR 051220Z AUTO 25027KT 05/02 Q1000=","","","","","","","","","",""
"01023199999","2021-11-05T13:50:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.53","37","41","","","","","87","","","","","","270","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET044METAR ENDR 051250Z AUTO 27022KT 05/03 Q1000=","","","","","","","","","",""
"01023199999","2021-11-05T14:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.53","36","41","","","","","81","","","","","","280","","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET044METAR ENDR 051320Z AUTO 28031KT 05/02 Q1000=","","","","","","","","","",""
"01023199999","2021-11-05T14:50:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.50","37","41","","","","","87","","","","","","260","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET044METAR ENDR 051350Z AUTO 26026KT 05/03 Q0999=","","","","","","","","","",""
"01023199999","2021-11-05T15:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.50","36","41","","","","","81","","","","","","270","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET044METAR ENDR 051420Z AUTO 27033KT 05/02 Q0999=","","","","","","","","","",""
"01023199999","2021-11-05T15:50:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.50","34","41","","","","","76","","","","","","280","52","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET047METAR ENDR 051450Z AUTO 28032G45KT 05/01 Q0999=","","","","","","","","","",""
